course	roll	name	total
3	11228	Mirach	94
6	11228	Mirach	42
7	11228	Mirach	98
4	12956	Altair	63
7	12956	Altair	64
9	12956	Altair	85
4	14470	Schedar	66
5	14470	Schedar	52
9	14470	Schedar	47
3	14909	Marfikent	74
5	14909	Marfikent	114
8	14909	Marfikent	79
2	15191	Mimosa	132
3	15191	Mimosa	92
7	15191	Mimosa	105
3	15504	Aludra	84
6	15504	Aludra	98
8	15504	Aludra	86
2	15533	Miaplacidus	103
6	15533	Miaplacidus	127
8	15533	Miaplacidus	98
1	16174	Koo	73
6	16174	Koo	79
9	16174	Koo	85
1	16909	Aldebaran	36
2	16909	Aldebaran	84
7	16909	Aldebaran	68
3	16961	Arcturus	87
6	16961	Arcturus	56
8	16961	Arcturus	46
1	18303	Castor	50
5	18303	Castor	105
9	18303	Castor	60
3	18473	Markeb	49
4	18473	Markeb	72
8	18473	Markeb	63
3	19068	Wei	69
6	19068	Wei	54
8	19068	Wei	71
3	20161	Achernar	72
4	20161	Achernar	64
6	20161	Achernar	107
2	22326	Birdun	49
3	22326	Birdun	123
6	22326	Birdun	120
2	22416	Sadr	91
3	22416	Sadr	57
8	22416	Sadr	90
1	22587	Fomalhaut	68
7	22587	Fomalhaut	96
8	22587	Fomalhaut	39
5	24137	Bellatrix	70
8	24137	Bellatrix	80
9	24137	Bellatrix	83
3	24154	Antares	102
7	24154	Antares	30
9	24154	Antares	79
2	25058	Rasalhague	59
7	25058	Rasalhague	43
8	25058	Rasalhague	47
1	25672	Suhail	84
3	25672	Suhail	77
5	25672	Suhail	119
3	25739	Suhail	82
4	25739	Suhail	37
5	25739	Suhail	33
2	26713	Hamal	96
5	26713	Hamal	48
9	26713	Hamal	36
2	27529	Hadar	104
6	27529	Hadar	71
8	27529	Hadar	96
3	27688	Avior	112
4	27688	Avior	61
8	27688	Avior	69
4	28279	Regor	48
5	28279	Regor	84
6	28279	Regor	96
3	28326	Aspidiske	115
4	28326	Aspidiske	45
5	28326	Aspidiske	76
2	28740	Scheat	89
5	28740	Scheat	69
6	28740	Scheat	91
3	28827	Deneb	64
6	28827	Deneb	63
7	28827	Deneb	73
6	28904	Pollux	39
7	28904	Pollux	108
8	28904	Pollux	94
2	29029	Girtab	95
6	29029	Girtab	51
8	29029	Girtab	69
7	31156	Agena	78
8	31156	Agena	83
9	31156	Agena	50
2	31595	Kakkab	81
5	31595	Kakkab	106
8	31595	Kakkab	62
2	32547	Kaus	80
4	32547	Kaus	55
6	32547	Kaus	83
1	32879	Alnilam	63
3	32879	Alnilam	107
9	32879	Alnilam	67
2	35062	Rigel	59
6	35062	Rigel	105
8	35062	Rigel	57
3	36755	Alphecca	85
7	36755	Alphecca	80
8	36755	Alphecca	66
2	36815	Phecda	53
3	36815	Phecda	59
4	36815	Phecda	73
1	37696	Deneb	51
4	37696	Deneb	40
7	37696	Deneb	19
1	37743	Saiph	44
6	37743	Saiph	65
8	37743	Saiph	91
1	37789	Spica	55
7	37789	Spica	83
9	37789	Spica	107
2	37827	Alhena	45
4	37827	Alhena	67
6	37827	Alhena	93
5	38116	El	89
6	38116	El	80
8	38116	El	71
2	38990	Alderamin	93
4	38990	Alderamin	37
5	38990	Alderamin	109
2	40107	Gemma	37
3	40107	Gemma	86
8	40107	Gemma	105
3	40475	Regulus	56
6	40475	Regulus	36
7	40475	Regulus	63
4	40584	Denebola	69
6	40584	Denebola	108
9	40584	Denebola	81
1	41130	Adara	92
6	41130	Adara	83
9	41130	Adara	98
1	41721	Polaris	34
3	41721	Polaris	70
9	41721	Polaris	51
4	42076	Mizar	85
8	42076	Mizar	100
9	42076	Mizar	44
3	44814	Sargas	97
5	44814	Sargas	64
6	44814	Sargas	92
2	45640	Wezen	102
4	45640	Wezen	98
6	45640	Wezen	36
1	47814	Sun	82
2	47814	Sun	50
6	47814	Sun	58
2	49258	Gruid	75
3	49258	Gruid	91
8	49258	Gruid	126
5	50321	Ankaa	66
7	50321	Ankaa	91
8	50321	Ankaa	87
3	50380	Rigil	34
4	50380	Rigil	83
8	50380	Rigil	103
4	50812	Sabik	97
7	50812	Sabik	65
8	50812	Sabik	30
2	51696	Alnitak	61
4	51696	Alnitak	82
7	51696	Alnitak	82
4	53018	Peacock	48
5	53018	Peacock	85
7	53018	Peacock	72
2	53198	Vega	83
4	53198	Vega	42
5	53198	Vega	92
3	55855	Kochab	71
5	55855	Kochab	55
